lat,long,z
70.17317957,-26.98520823,271
70.17317951,-26.98441572,282
70.17317943,-26.98362321,294
70.17317936,-26.98283069,304
70.17291111,-26.99551093,262
70.17291109,-26.99471843,252
70.17291107,-26.99392593,243
70.17291104,-26.99313343,235
70.17291101,-26.99234093,230
70.17291097,-26.99154843,226
70.17291093,-26.99075593,221
70.17291089,-26.98996343,218
70.17291084,-26.98917093,221
70.17291079,-26.98837842,231
70.17291074,-26.98758592,239
70.17291068,-26.98679342,249
70.17291062,-26.98600092,261
70.17291056,-26.98520842,275
70.17291049,-26.98441592,286
70.17291042,-26.98362342,294
70.17291035,-26.98283092,298
70.17291027,-26.98203842,305
70.1726421,-26.99551099,277
70.17264208,-26.9947185,265
70.17264206,-26.99392601,250
70.17264203,-26.99313352,240
70.172642,-26.99234103,236
70.17264196,-26.99154854,232
70.17264192,-26.99075605,228
70.17264188,-26.98996356,224
70.17264183,-26.98917107,225
70.17264178,-26.98837858,230
70.17264173,-26.98758608,235
70.17264167,-26.98679359,245
70.17264161,-26.9860011,263
70.17264155,-26.98520861,280
70.17264148,-26.98441612,289
70.17264141,-26.98362363,292
70.17264134,-26.98283114,295
70.17264126,-26.98203865,302
70.17237309,-26.99551105,282
70.17237307,-26.99471857,276
70.17237305,-26.99392609,266
70.17237302,-26.99313361,256
70.17237299,-26.99234113,247
70.17237295,-26.99154865,240
70.17237291,-26.99075617,233
70.17237287,-26.98996369,226
70.17237282,-26.98917121,226
70.17237277,-26.98837873,231
70.17237272,-26.98758625,241
70.17237266,-26.98679377,249
70.1723726,-26.98600129,263
70.17237254,-26.98520881,282
70.17237247,-26.98441633,288
70.1723724,-26.98362384,289
70.17237233,-26.98283136,292
70.17237225,-26.98203888,300
70.17237217,-26.9812464,310
70.17210408,-26.99551111,292
70.17210406,-26.99471864,286
70.17210403,-26.99392617,280
70.17210401,-26.9931337,271
70.17210397,-26.99234123,262
70.17210394,-26.99154876,251
70.1721039,-26.99075629,238
70.17210386,-26.98996382,226
70.17210381,-26.98917135,226
70.17210376,-26.98837888,232
70.17210371,-26.98758641,242
70.17210365,-26.98679394,249
70.17210359,-26.98600147,258
70.17210353,-26.985209,272
70.17210346,-26.98441653,282
70.17210339,-26.98362406,287
70.17210332,-26.98283159,291
70.17210324,-26.98203912,298
70.17210316,-26.98124665,310
70.17183505,-26.99471871,295
70.17183502,-26.99392625,287
70.171835,-26.99313379,280
70.17183496,-26.99234133,269
70.17183493,-26.99154887,256
70.17183489,-26.99075641,244
70.17183485,-26.98996395,235
70.1718348,-26.98917149,232
70.17183475,-26.98837903,232
70.1718347,-26.98758657,238
70.17183464,-26.98679411,242
70.17183458,-26.98600165,248
70.17183452,-26.98520919,263
70.17183445,-26.98441673,275
70.17183438,-26.98362427,281
70.17183431,-26.98283181,286
70.17183423,-26.98203935,295
70.17183415,-26.98124689,309
70.17183406,-26.98045443,327
70.17156604,-26.99471878,308
70.17156601,-26.99392633,296
70.17156598,-26.99313388,287
70.17156595,-26.99234143,275
70.17156592,-26.99154898,263
70.17156588,-26.99075653,252
70.17156583,-26.98996408,248
70.17156579,-26.98917163,242
70.17156574,-26.98837918,237
70.17156569,-26.98758673,235
70.17156563,-26.98679428,236
70.17156557,-26.98600183,241
70.17156551,-26.98520938,254
70.17156544,-26.98441693,266
70.17156537,-26.98362448,270
70.17156529,-26.98283203,276
70.17156522,-26.98203959,284
70.17156514,-26.98124714,303
70.17156505,-26.98045469,322
70.17156496,-26.97966224,331
70.17129703,-26.99471884,326
70.171297,-26.99392641,311
70.17129697,-26.99313397,296
70.17129694,-26.99234153,283
70.17129691,-26.99154909,270
70.17129687,-26.99075665,261
